date,symbol,name,client,buy_sell,quantity,price,value,remarks
2026-07-29,KALYANKJIL,Kalyan Jewellers,GRAVITON RESEARCH CAPITAL LLP,SELL,5666646,622.81,3529243795.2599998,NSE · Bulk
2026-07-29,KALYANKJIL,Kalyan Jewellers,GRAVITON RESEARCH CAPITAL LLP,BUY,5663946,622.93,3528241881.7799997,NSE · Bulk
2026-07-29,KPITTECH,KPIT Technologies,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,SELL,4000000,609.09,2436360000.0,BSE · Bulk
2026-07-29,KAYNES,Kaynes Technology,GRAVITON RESEARCH CAPITAL LLP,SELL,545803,3543.35,1933971060.05,NSE · Bulk
2026-07-29,KAYNES,Kaynes Technology,GRAVITON RESEARCH CAPITAL LLP,BUY,545803,3539.64,1931946130.9199998,NSE · Bulk
2026-07-29,PARADEEP,Paradeep Phosphates,MICROCURVES TRADING PRIVATE LIMITED,SELL,11969749,155.25,1858303532.25,NSE · Bulk
2026-07-29,PARADEEP,Paradeep Phosphates,MICROCURVES TRADING PRIVATE LIMITED,BUY,11969749,155.19,1857585347.31,NSE · Bulk
2026-07-29,KPITTECH,KPIT Technologies,GRAVITON RESEARCH CAPITAL LLP,BUY,2764311,629.18,1739249194.9799998,NSE · Bulk
2026-07-29,KPITTECH,KPIT Technologies,GRAVITON RESEARCH CAPITAL LLP,SELL,2764311,629.1,1739028050.1000001,NSE · Bulk
2026-07-29,GODIGIT,Go Digit Insurance ,ICICI PRUDENTIAL MUTUAL FUND,BUY,5721378,243.0,1390294854.0,NSE · Bulk
2026-07-29,GODIGIT,Go Digit Insurance ,PEAK XV PARTNERS GROWTH INVESTMENTS III,SELL,5721378,243.0,1390294854.0,NSE · Bulk
2026-07-29,GODIGIT,Go Digit Insurance ,ICICI PRUDENTIAL MUTUAL FUND,BUY,5721378,243.0,1390294854.0,NSE · Block
2026-07-29,GODIGIT,Go Digit Insurance ,PEAK XV PARTNERS GROWTH INVESTMENTS III,SELL,5721378,243.0,1390294854.0,NSE · Block
2026-07-29,KPITTECH,KPIT Technologies,HRTI PRIVATE LIMITED,SELL,1762573,631.48,1113029598.04,NSE · Bulk
2026-07-29,PARADEEP,Paradeep Phosphates,QE SECURITIES LLP,SELL,6220768,154.36,960237748.4800001,NSE · Bulk
2026-07-29,KPITTECH,KPIT Technologies,HRTI PRIVATE LIMITED,BUY,1468399,633.99,930950282.01,NSE · Bulk
2026-07-29,PARADEEP,Paradeep Phosphates,QE SECURITIES LLP,BUY,5855876,155.21,908890513.96,NSE · Bulk
2026-07-29,PCBL,PCBL,MICROCURVES TRADING PRIVATE LIMITED,SELL,1970820,359.24,707997376.8000001,NSE · Bulk
2026-07-29,PCBL,PCBL,MICROCURVES TRADING PRIVATE LIMITED,BUY,1970820,358.98,707484963.6,NSE · Bulk
2026-07-27,KFINTECH,KFIN Technologies,GRAVITON RESEARCH CAPITAL LLP,SELL,1072636,923.85,990954768.6,NSE · Bulk
2026-07-27,KFINTECH,KFIN Technologies,GRAVITON RESEARCH CAPITAL LLP,BUY,1072636,921.94,988906033.84,NSE · Bulk
2026-07-23,OFSS,Oracle Fin Serv,GRAVITON RESEARCH CAPITAL LLP,SELL,456552,10690.51,4880773721.52,NSE · Bulk
2026-07-23,OFSS,Oracle Fin Serv,GRAVITON RESEARCH CAPITAL LLP,BUY,452652,10683.71,4836002698.92,NSE · Bulk
2026-07-23,CIEINDIA,CIE Automotive,HDFC MUTUAL FUND,BUY,7100000,418.5,2971350000.0,BSE · Bulk
2026-07-23,CIEINDIA,CIE Automotive,HDFC MUTUAL FUND,SELL,7100000,418.5,2971350000.0,BSE · Bulk
2026-07-22,BANDHANBNK,Bandhan Bank,GRAVITON RESEARCH CAPITAL LLP,SELL,10513583,176.71,1857855251.93,NSE · Bulk
2026-07-22,BANDHANBNK,Bandhan Bank,GRAVITON RESEARCH CAPITAL LLP,BUY,10513583,176.51,1855752535.33,NSE · Bulk
2026-07-21,KARURVYSYA,Karur Vysya Bank,MICROCURVES TRADING PRIVATE LIMITED,SELL,5638264,333.51,1880417426.6399999,NSE · Bulk
2026-07-21,KARURVYSYA,Karur Vysya Bank,MICROCURVES TRADING PRIVATE LIMITED,BUY,5638465,333.27,1879131230.55,NSE · Bulk
